0,0,4,13,11,3,0,0,0,1,13,13,12,11,1,0,0,4,14,5,3,13,3,0,0,5,13,2,0,9,7,0,0,6,12,1,0,9,7,0,0,3,13,2,1,11,6,0,0,1,13,10,11,13,3,0,0,0,4,14,13,6,0,0,0
0,0,2,9,11,6,1,0,0,0,5,13,15,9,1,0,0,1,8,15,15,8,1,0,0,2,10,15,14,7,0,0,0,1,7,12,14,7,0,0,0,0,5,10,14,7,0,0,0,0,5,11,14,9,2,0,0,0,2,9,13,9,3,1,1
0,1,10,14,8,2,0,0,0,5,14,12,12,5,0,0,0,4,8,4,11,6,0,0,0,1,2,5,12,4,0,0,0,0,1,8,10,2,0,0,0,0,5,12,7,2,1,0,0,2,12,15,12,11,7,0,0,1,10,14,13,12,9,1,2
0,1,9,14,14,6,1,0,0,4,13,9,12,11,2,0,0,2,3,3,12,9,1,0,0,0,2,10,14,6,0,0,0,0,1,7,12,12,2,0,0,0,1,1,4,13,7,0,0,1,7,6,8,14,6,0,0,1,10,15,13,8,1,0,3
0,0,1,7,11,2,1,0,0,0,3,12,9,2,2,0,0,1,9,12,4,6,4,0,0,4,14,8,6,11,6,0,0,7,14,10,12,14,5,0,0,6,10,12,15,11,2,0,0,2,3,8,14,5,0,0,0,0,1,7,11,2,0,0,4
0,1,9,13,14,12,4,0,0,3,14,13,9,7,2,0,0,5,14,6,2,1,0,0,0,5,14,12,9,4,0,0,0,2,7,8,9,8,2,0,0,0,1,3,7,9,3,0,0,1,6,8,11,9,2,0,0,1,9,14,10,3,0,0,5
0,0,2,11,9,1,0,0,0,0,8,14,6,1,0,0,0,1,13,9,1,0,0,0,0,2,14,7,3,1,0,0,0,3,15,12,12,10,2,0,0,2,15,11,7,11,9,0,0,0,11,13,6,11,11,1,0,0,2,11,15,13,5,0,6
0,0,6,13,14,12,6,1,0,1,9,11,11,13,7,1,0,1,3,1,7,12,4,0,0,1,4,7,12,12,4,0,0,2,9,14,15,12,5,0,0,1,5,12,11,4,1,0,0,0,4,13,5,0,0,0,0,0,8,11,2,0,0,0,7
0,0,5,12,12,6,0,0,0,2,13,11,9,12,2,0,0,4,12,7,8,12,2,0,0,1,10,14,13,7,1,0,0,0,8,14,12,4,0,0,0,1,11,9,9,8,2,0,0,1,12,8,8,10,3,0,0,0,6,13,13,7,1,0,8
0,0,5,12,12,6,2,0,0,2,13,10,10,11,3,0,0,4,13,6,9,14,4,0,0,2,11,11,13,14,4,0,0,0,3,5,6,12,5,0,0,0,0,1,4,10,5,0,0,1,5,6,7,10,5,0,0,0,5,12,12,8,2,0,9
